Date / Heure,Courbe de charge,Energie renouvelable
10/5/21 0:00,205.81,3.69
10/5/21 0:30,187.02,2.98
10/5/21 1:00,168.94,6.77
10/5/21 1:30,158.51,6.86
10/5/21 2:00,151.16,4.82
10/5/21 2:30,146.27,5.44
10/5/21 3:00,143.93,5.88
10/5/21 3:30,141.8,3.79
10/5/21 4:00,142.67,6.68
10/5/21 4:30,142.37,5.69
10/5/21 5:00,149.79,4.73
10/5/21 5:30,157.15,2.87
10/5/21 6:00,167.95,5.74
10/5/21 6:30,181.77,5.65
10/5/21 7:00,196.72,3.22
10/5/21 7:30,205.2,5.17
10/5/21 8:00,216.43,10.54
10/5/21 8:30,226.39,17.91
10/5/21 9:00,235.52,22.57
10/5/21 9:30,243.29,24.41
10/5/21 10:00,247.36,28.65
10/5/21 10:30,251.43,45.16
10/5/21 11:00,244.51,39.14
10/5/21 11:30,242.23,45.41
10/5/21 12:00,246.61,54.57
10/5/21 12:30,240.63,70.39
10/5/21 13:00,238.19,73.21
10/5/21 13:30,231.46,67.91
10/5/21 14:00,228.82,62.26
10/5/21 14:30,225.89,59.55
10/5/21 15:00,220.28,47.84
10/5/21 15:30,215.37,41.5
10/5/21 16:00,216.9,34.34
10/5/21 16:30,214.07,24.86
10/5/21 17:00,214.4,14.25
10/5/21 17:30,217.2,13.4
10/5/21 18:00,225.41,9.06
10/5/21 18:30,237.75,4.98
10/5/21 19:00,254.62,12.89
10/5/21 19:30,263.39,11.21
10/5/21 20:00,255.15,11.63
10/5/21 20:30,239.29,11.03
10/5/21 21:00,228.25,4.11
10/5/21 21:30,214.38,4.88
10/5/21 22:00,209.55,2.73
10/5/21 22:30,216.49,5.27
10/5/21 23:00,229.47,6.32
10/5/21 23:30,214.01,5.93
10/6/21 0:00,214.68,3.64
10/6/21 0:30,193.82,1.9
10/6/21 1:00,175.87,4.89
10/6/21 1:30,162.67,3.72
10/6/21 2:00,155.04,5.33
10/6/21 2:30,150.36,5.94
10/6/21 3:00,148.07,6.33
10/6/21 3:30,143.83,4.98
10/6/21 4:00,144.68,6.58
10/6/21 4:30,144.9,6.22
10/6/21 5:00,151.53,7.22
10/6/21 5:30,156.98,6.47
10/6/21 6:00,167.32,7.14
10/6/21 6:30,181,7.65
10/6/21 7:00,195.03,7.76
10/6/21 7:30,205.63,7.73
10/6/21 8:00,217.59,9.91
10/6/21 8:30,229.71,16.94
10/6/21 9:00,236.98,30.86
10/6/21 9:30,245.97,42.86
10/6/21 10:00,247.6,54.31
10/6/21 10:30,246.59,66.43
10/6/21 11:00,245.51,79.83
10/6/21 11:30,244.44,90.03
10/6/21 12:00,243.41,90.05
10/6/21 12:30,237.33,95.61
10/6/21 13:00,234.04,99
10/6/21 13:30,229.25,94.12
10/6/21 14:00,230.06,97.04
10/6/21 14:30,224.65,76.36
10/6/21 15:00,219.92,84.42
10/6/21 15:30,217.61,75
10/6/21 16:00,214.89,59.27
10/6/21 16:30,208.66,51.3
10/6/21 17:00,209.1,38.58
10/6/21 17:30,214.29,29.03
10/6/21 18:00,223.62,16.51
10/6/21 18:30,234.84,7.5
10/6/21 19:00,252.61,13.46
10/6/21 19:30,264.34,13.66
10/6/21 20:00,257.6,13.27
10/6/21 20:30,242.18,12.44
10/6/21 21:00,230.31,2.57
10/6/21 21:30,217.68,2.05
10/6/21 22:00,215.28,2.39
10/6/21 22:30,218.4,2.89
10/6/21 23:00,231.34,2.55
10/6/21 23:30,215.44,2.64
10/7/21 0:00,214.9,3.09
10/7/21 0:30,196.6,2.48
10/7/21 1:00,179.6,7.45
10/7/21 1:30,166.87,5.66
10/7/21 2:00,159.05,5.25
10/7/21 2:30,152.46,6.2
10/7/21 3:00,149.43,7.67
10/7/21 3:30,146.62,4.67
10/7/21 4:00,147.49,6.82
10/7/21 4:30,148.11,7.09
10/7/21 5:00,167.83,7.29
10/7/21 5:30,193.35,6.49
10/7/21 6:00,205.07,6.16
10/7/21 6:30,217.79,6.57
10/7/21 7:00,233.63,4.88
10/7/21 7:30,247.27,4.53
10/7/21 8:00,256.13,9.36
10/7/21 8:30,263.58,19.59
10/7/21 9:00,271.83,35.37
10/7/21 9:30,276.28,46.32
10/7/21 10:00,278.59,59.73
10/7/21 10:30,278.62,62.5
10/7/21 11:00,278.93,56.95
10/7/21 11:30,279.47,55.15
10/7/21 12:00,278.16,63.07
10/7/21 12:30,273.89,64.9
10/7/21 13:00,269.79,53.7
10/7/21 13:30,264.72,53.07
10/7/21 14:00,261.07,53.73
10/7/21 14:30,254.58,50.68
10/7/21 15:00,249.82,55.04
10/7/21 15:30,247.36,48.03
10/7/21 16:00,246.25,39.18
10/7/21 16:30,245.55,29.16
10/7/21 17:00,247.12,17.95
10/7/21 17:30,252.79,15.41
10/7/21 18:00,262.02,11.68
10/7/21 18:30,271.49,6.82
10/7/21 19:00,289.4,15.91
10/7/21 19:30,299.93,16.51
10/7/21 20:00,293.91,16.05
10/7/21 20:30,279.91,14.45
10/7/21 21:00,267.37,2.68
10/7/21 21:30,254.47,4.23
10/7/21 22:00,251.36,4.29
10/7/21 22:30,254.13,3.44
10/7/21 23:00,267.59,3.66
10/7/21 23:30,252.61,4.67
10/8/21 0:00,252.22,3.97
10/8/21 0:30,231.8,2.52
10/8/21 1:00,215.09,6.79
10/8/21 1:30,201.64,5.62
10/8/21 2:00,193.57,3.67
10/8/21 2:30,188.52,3.7
10/8/21 3:00,185.92,3.81
10/8/21 3:30,160.47,3.41
10/8/21 4:00,155.32,4.25
10/8/21 4:30,156.42,3.86
10/8/21 5:00,161.17,4.46
10/8/21 5:30,168.16,5.99
10/8/21 6:00,177.97,5.72
10/8/21 6:30,192.18,5.86
10/8/21 7:00,208.14,4.44
10/8/21 7:30,220.56,4.94
10/8/21 8:00,231.99,6.53
10/8/21 8:30,242.56,11.1
10/8/21 9:00,250.31,18.32
10/8/21 9:30,252.71,28.6
10/8/21 10:00,253.11,40.65
10/8/21 10:30,253.14,57.58
10/8/21 11:00,250.32,76.39
10/8/21 11:30,255.48,74
10/8/21 12:00,253.95,54.31
10/8/21 12:30,247.05,44.51
10/8/21 13:00,243.07,53.03
10/8/21 13:30,237.73,52.6
10/8/21 14:00,233.31,47.3
10/8/21 14:30,229.38,40.41
10/8/21 15:00,223.57,30.66
10/8/21 15:30,221.43,23.2
10/8/21 16:00,220.38,21.03
10/8/21 16:30,221.09,14.28
10/8/21 17:00,222.93,9.52
10/8/21 17:30,228.47,10.01
10/8/21 18:00,235.25,7.14
10/8/21 18:30,246.29,6.24
10/8/21 19:00,262.13,13.83
10/8/21 19:30,269.79,13.24
10/8/21 20:00,264.07,13.55
10/8/21 20:30,249.75,13.32
10/8/21 21:00,237.26,3.3
10/8/21 21:30,226.16,3.5
10/8/21 22:00,226.81,5.4
10/8/21 22:30,231.32,3.36
10/8/21 23:00,244.14,3.53
10/8/21 23:30,228.56,3.76
10/9/21 0:00,228.02,3.7
10/9/21 0:30,207.82,2.92
10/9/21 1:00,191.88,3.04
10/9/21 1:30,180.61,3.79
10/9/21 2:00,170.73,3.48
10/9/21 2:30,164.2,4.74
10/9/21 3:00,161.1,3.68
10/9/21 3:30,159.6,3.1
10/9/21 4:00,159.5,3.38
10/9/21 4:30,159.84,3.81
10/9/21 5:00,162.24,4.16
10/9/21 5:30,165.16,4.74
10/9/21 6:00,170.73,4.42
10/9/21 6:30,177.67,4.01
10/9/21 7:00,185.05,3.58
10/9/21 7:30,192.83,2.65
10/9/21 8:00,204.71,9.93
10/9/21 8:30,219.26,22.31
10/9/21 9:00,233.43,38.15
10/9/21 9:30,241.5,51.39
10/9/21 10:00,244.42,60.28
10/9/21 10:30,242.95,85.76
10/9/21 11:00,242.27,99.64
10/9/21 11:30,244.98,110.46
10/9/21 12:00,247.68,103.1
10/9/21 12:30,242.83,110.35
10/9/21 13:00,235.27,110.32
10/9/21 13:30,228.89,109.81
10/9/21 14:00,224.25,105
10/9/21 14:30,216.93,95.31
10/9/21 15:00,212.95,90.65
10/9/21 15:30,210.43,81.78
10/9/21 16:00,209.06,65.44
10/9/21 16:30,208.17,53.55
10/9/21 17:00,211.02,40.06
10/9/21 17:30,217.08,25.98
10/9/21 18:00,226.63,14.56
10/9/21 18:30,235.97,10.38
10/9/21 19:00,251.72,20.23
10/9/21 19:30,263.97,20.35
10/9/21 20:00,258.71,20.13
10/9/21 20:30,246.15,18.9
10/9/21 21:00,234.56,4.88
10/9/21 21:30,222.13,5.2
10/9/21 22:00,221.76,3.58
10/9/21 22:30,227.86,3.53
10/9/21 23:00,242.5,3.11
10/9/21 23:30,228.56,3.8
